Gene ID,Symbol
"ENSG00000094914","AAAS"
"ENSG00000165029","ABCA1"
"ENSG00000198691","ABCA4"
"ENSG00000115657","ABCB6"
"ENSG00000101986","ABCD1"
"ENSG00000100997","ABHD12"
"ENSG00000107897","ACBD5"
"ENSG00000100412","ACO2"
"ENSG00000161533","ACOX1"
"ENSG00000162836","ACP6"
"ENSG00000075624","ACTB"
"ENSG00000184009","ACTG1"
"ENSG00000115170","ACVR1"
"ENSG00000114739","ACVR2B"
"ENSG00000168615","ADAM9"
"ENSG00000142303","ADAMTS10"
"ENSG00000140470","ADAMTS17"
"ENSG00000140873","ADAMTS18"
"ENSG00000143382","ADAMTSL4"
"ENSG00000152990","ADGRA3"
"ENSG00000164199","ADGRV1"
"ENSG00000159346","ADIPOR1"
"ENSG00000141385","AFG3L2"
"ENSG00000273540","AGBL1"
"ENSG00000084693","AGBL5"
"ENSG00000006530","AGK"
"ENSG00000018510","AGPS"
"ENSG00000126705","AHDC1"
"ENSG00000135541","AHI1"
"ENSG00000106546","AHR"
"ENSG00000129221","AIPL1"
"ENSG00000160224","AIRE"
"ENSG00000127914","AKAP9"
"ENSG00000165568","AKR1E2"
"ENSG00000059573","ALDH18A1"
"ENSG00000184254","ALDH1A3"
"ENSG00000072210","ALDH3A2"
"ENSG00000119523","ALG2"
"ENSG00000088035","ALG6"
"ENSG00000116127","ALMS1"
"ENSG00000180318","ALX1"
"ENSG00000242110","AMACR"
"ENSG00000126016","AMOT"
"ENSG00000145020","AMT"
"ENSG00000176915","ANKLE2"
"ENSG00000165138","ANKS6"
"ENSG00000169604","ANTXR1"
"ENSG00000132842","AP3B1"
"ENSG00000065000","AP3D1"
"ENSG00000137074","APTX"
"ENSG00000074964","ARHGEF10L"
"ENSG00000104880","ARHGEF18"
"ENSG00000169379","ARL13B"
"ENSG00000102931","ARL2BP"
"ENSG00000138175","ARL3"
"ENSG00000113966","ARL6"
"ENSG00000135931","ARMC9"
"ENSG00000172379","ARNT2"
"ENSG00000113273","ARSB"
"ENSG00000141337","ARSG"
"ENSG00000004848","ARX"
"ENSG00000146926","ASB10"
"ENSG00000108381","ASPA"
"ENSG00000198363","ASPH"
"ENSG00000162174","ASRGL1"
"ENSG00000197785","ATAD3A"
"ENSG00000128272","ATF4"
"ENSG00000118217","ATF6"
"ENSG00000138363","ATIC"
"ENSG00000149311","ATM"
"ENSG00000179774","ATOH7"
"ENSG00000159363","ATP13A2"
"ENSG00000105409","ATP1A3"
"ENSG00000114573","ATP6V1A"
