Gene ID,Symbol
"ENSG00000100412","ACO2"
"ENSG00000141385","AFG3L2"
"ENSG00000214160","ALG3"
"ENSG00000073331","ALPK1"
"ENSG00000197785","ATAD3A"
"ENSG00000197548","ATG7"
"ENSG00000148090","AUH"
"ENSG00000131943","C19orf12"
"ENSG00000102001","CACNA1F"
"ENSG00000145354","CISD2"
"ENSG00000162129","CLPB"
"ENSG00000114956","DGUOK"
"ENSG00000138346","DNA2"
"ENSG00000205981","DNAJC19"
"ENSG00000176410","DNAJC30"
"ENSG00000087470","DNM1L"
"ENSG00000103356","EARS2"
"ENSG00000136628","EPRS1"
"ENSG00000124279","FASTKD3"
"ENSG00000161513","FDXR"
"ENSG00000091483","FH"
"ENSG00000165060","FXN"
"ENSG00000056998","GYG2"
"ENSG00000165898","ISCA2"
"ENSG00000166813","KIF7"
"ENSG00000100294","MCAT"
"ENSG00000116353","MECR"
"ENSG00000168958","MFF"
"ENSG00000116688","MFN2"
"ENSG00000125871","MGME1"
"ENSG00000100335","MIEF1"
"ENSG00000198899","MT-ATP6"
"ENSG00000198888","MT-ND1"
"ENSG00000198886","MT-ND4"
"ENSG00000198695","MT-ND6"
"ENSG00000103707","MTFMT"
"ENSG00000135297","MTO1"
"ENSG00000107951","MTPAP"
"ENSG00000130921","MTRFR"
"ENSG00000137513","NARS2"
"ENSG00000151779","NBAS"
"ENSG00000184752","NDUFA12"
"ENSG00000164182","NDUFAF2"
"ENSG00000178057","NDUFAF3"
"ENSG00000023228","NDUFS1"
"ENSG00000158864","NDUFS2"
"ENSG00000167792","NDUFV1"
"ENSG00000175745","NR2F1"
"ENSG00000178694","NSUN3"
"ENSG00000198836","OPA1"
"ENSG00000125741","OPA3"
"ENSG00000131828","PDHA1"
"ENSG00000110435","PDHX"
"ENSG00000148459","PDSS1"
"ENSG00000160209","PDXK"
"ENSG00000123560","PLP1"
"ENSG00000140521","POLG"
"ENSG00000256525","POLG2"
"ENSG00000076201","PTPN23"
"ENSG00000115839","RAB3GAP1"
"ENSG00000176406","RIMS2"
"ENSG00000171865","RNASEH1"
"ENSG00000048392","RRM2B"
"ENSG00000130347","RTN4IP1"
"ENSG00000117479","SLC19A2"
"ENSG00000135917","SLC19A3"
"ENSG00000151729","SLC25A4"
"ENSG00000164209","SLC25A46"
"ENSG00000070214","SLC44A1"
"ENSG00000185803","SLC52A2"
"ENSG00000197912","SPG7"
"ENSG00000106028","SSBP1"
"ENSG00000136143","SUCLA2"
"ENSG00000136463","TACO1"
"ENSG00000125875","TBC1D20"
"ENSG00000114354","TFG"
"ENSG00000126953","TIMM8A"
"ENSG00000166548","TK2"
"ENSG00000171202","TMEM126A"
"ENSG00000123297","TSFM"
"ENSG00000107815","TWNK"
"ENSG00000025708","TYMP"
"ENSG00000154277","UCHL1"
"ENSG00000137411","VARS2"
"ENSG00000109501","WFS1"
"ENSG00000136758","YME1L1"
"ENSG00000273611","ZNHIT3"
